system,benchmark,task_id,repeat,passed,prompt_tokens,completion_tokens,token_source,total_tokens,latency_seconds,eval_error
single,humaneval,HumanEval/15,1,True,130,84,measured,214,1.0461,
single,humaneval,HumanEval/15,2,True,130,83,measured,213,1.0183,
single,humaneval,HumanEval/15,3,True,130,83,measured,213,1.0194,
single,humaneval,HumanEval/16,1,True,132,76,measured,208,0.9638,
single,humaneval,HumanEval/16,2,True,132,76,measured,208,0.9425,
single,humaneval,HumanEval/16,3,True,132,76,measured,208,0.9466,
single,humaneval,HumanEval/17,1,True,234,209,measured,443,2.4506,
single,humaneval,HumanEval/17,2,True,234,209,measured,443,2.4202,
single,humaneval,HumanEval/17,3,True,234,232,measured,466,2.6728,
single,humaneval,HumanEval/18,1,True,150,147,measured,297,1.7458,
single,humaneval,HumanEval/18,2,True,150,80,measured,230,0.9857,
single,humaneval,HumanEval/18,3,True,150,80,measured,230,0.9837,
single,humaneval,HumanEval/19,1,True,167,197,measured,364,2.3209,
single,humaneval,HumanEval/19,2,True,167,197,measured,364,2.2878,
single,humaneval,HumanEval/19,3,True,167,197,measured,364,2.2465,
single,mbpp,mbpp_2,1,True,208,29,measured,237,0.4583,
single,mbpp,mbpp_2,2,True,208,25,measured,233,0.3718,
single,mbpp,mbpp_2,3,True,208,29,measured,237,0.4141,
single,mbpp,mbpp_3,1,True,119,58,measured,177,0.7474,
single,mbpp,mbpp_3,2,True,119,58,measured,177,0.7277,
single,mbpp,mbpp_3,3,True,119,57,measured,176,0.7143,
single,mbpp,mbpp_4,1,True,271,61,measured,332,0.8035,
single,mbpp,mbpp_4,2,True,271,62,measured,333,0.7779,
single,mbpp,mbpp_4,3,True,271,61,measured,332,0.7657,
single,mbpp,mbpp_6,1,True,146,30,measured,176,0.4501,
single,mbpp,mbpp_6,2,True,146,29,measured,175,0.4127,
single,mbpp,mbpp_6,3,True,146,29,measured,175,0.4139,
single,mbpp,mbpp_7,1,True,176,29,measured,205,0.441,
single,mbpp,mbpp_7,2,True,176,29,measured,205,0.4136,
single,mbpp,mbpp_7,3,True,176,29,measured,205,0.4143,
single,mbpp,mbpp_8,1,True,206,22,measured,228,0.3659,
single,mbpp,mbpp_8,2,True,206,22,measured,228,0.3391,
single,mbpp,mbpp_8,3,True,206,22,measured,228,0.3363,
single,mbpp,mbpp_9,1,True,137,48,measured,185,0.6399,
single,mbpp,mbpp_9,2,True,137,48,measured,185,0.6263,
single,mbpp,mbpp_9,3,True,137,48,measured,185,0.6168,
single,mbpp,mbpp_11,1,True,136,80,measured,216,0.9869,
single,mbpp,mbpp_11,2,True,136,80,measured,216,0.9626,
single,mbpp,mbpp_11,3,True,136,79,measured,215,0.954,
single,mbpp,mbpp_12,1,True,262,18,measured,280,0.3338,
single,mbpp,mbpp_12,2,True,262,18,measured,280,0.2949,
single,mbpp,mbpp_12,3,True,262,18,measured,280,0.2946,
single,mbpp,mbpp_14,1,True,137,27,measured,164,0.4122,
single,mbpp,mbpp_14,2,True,137,27,measured,164,0.3919,
single,mbpp,mbpp_14,3,True,137,27,measured,164,0.3904,
single,mbpp,mbpp_16,1,True,144,31,measured,175,0.4791,
single,mbpp,mbpp_16,2,True,144,31,measured,175,0.4251,
single,mbpp,mbpp_16,3,True,144,23,measured,167,0.3448,
single,mbpp,mbpp_17,1,True,124,20,measured,144,0.3422,
single,mbpp,mbpp_17,2,True,124,19,measured,143,0.3102,
single,mbpp,mbpp_17,3,True,124,19,measured,143,0.3037,
single,mbpp,mbpp_18,1,True,151,32,measured,183,0.468,
single,mbpp,mbpp_18,2,True,151,32,measured,183,0.4369,
single,mbpp,mbpp_18,3,True,151,33,measured,184,0.4484,
single,mbpp,mbpp_19,1,True,150,20,measured,170,0.3453,
single,mbpp,mbpp_19,2,True,150,20,measured,170,0.3172,
single,mbpp,mbpp_19,3,True,150,20,measured,170,0.311,
single,mbpp,mbpp_20,1,False,131,49,measured,180,0.6391,"Traceback (most recent call last):
  File ""C:\Users\User\AppData\Local\Temp\harmonet_ext_g1_7q_6b46_\candidate_test.py"", line 21, in <module>
    assert is_woodall(383) == True
AssertionError"
single,mbpp,mbpp_20,2,False,131,77,measured,208,0.9191,"Traceback (most recent call last):
  File ""C:\Users\User\AppData\Local\Temp\harmonet_ext_g1__3_secip\candidate_test.py"", line 26, in <module>
    assert is_woodall(383) == True
AssertionError"
single,mbpp,mbpp_20,3,False,131,62,measured,193,0.7567,"Traceback (most recent call last):
  File ""C:\Users\User\AppData\Local\Temp\harmonet_ext_g1_txo8mpca\candidate_test.py"", line 23, in <module>
    assert is_woodall(383) == True
AssertionError"
single,mbpp,mbpp_56,1,True,119,33,measured,152,0.4629,
single,mbpp,mbpp_56,2,True,119,33,measured,152,0.4414,
single,mbpp,mbpp_56,3,True,119,33,measured,152,0.4498,
single,mbpp,mbpp_57,1,True,153,28,measured,181,0.4183,
single,mbpp,mbpp_57,2,True,153,27,measured,180,0.3818,
single,mbpp,mbpp_57,3,True,153,35,measured,188,0.4724,
single,mbpp,mbpp_58,1,True,136,25,measured,161,0.3874,
single,mbpp,mbpp_58,2,True,136,25,measured,161,0.3652,
single,mbpp,mbpp_58,3,True,136,25,measured,161,0.3608,
single,mbpp,mbpp_59,1,True,127,22,measured,149,0.3467,
single,mbpp,mbpp_59,2,True,127,22,measured,149,0.3308,
single,mbpp,mbpp_59,3,True,127,23,measured,150,0.3494,
single,mbpp,mbpp_61,1,True,144,71,measured,215,0.8679,
single,mbpp,mbpp_61,2,True,144,71,measured,215,0.8568,
single,mbpp,mbpp_61,3,True,144,93,measured,237,1.0818,
